年份,地区
2001,荷兰
2003,比利时
2005,加拿大、西班牙
2006,南非
2009,挪威、瑞典
2010,葡萄牙、阿根廷、冰岛 [9] 
2012,丹麦
2013,巴西、法国、新西兰、乌拉圭
2014,英国
2015,卢森堡、爱尔兰、美国、墨西哥
2016,哥伦比亚
2017,芬兰、中国台湾地区、斯洛文尼亚、德国、马耳他、澳大利亚、奥地利
2018,泰国、捷克、哥斯达黎加
2019,厄瓜多尔
