CountryName,2011,2012,2013,2014,2015,2016,2017,2018
Liberia,1900,1900,1800,1800,1800,1800,1700,1600
Jamaica,2400,2400,2400,2400,2400,2400,2400,2400
Germany,2800,2900,3000,3000,2900,2900,2600,2600
Angola,20000,21000,21000,21000,21000,21000,21000,21000
Sierra Leone,3900,3800,3800,3800,3800,3800,3600,3400
Guatemala,1800,1800,1800,1800,1800,1900,2000,2100
Ecuador,2400,2400,2400,2400,2400,2300,2200,2200
Portugal,1500,1400,1300,1200,1100,990,900,740
Eritrea,570,540,520,500,500,500,500,500
Eswatini,9700,9700,9700,9600,9000,8300,7600,6900
Niger,1300,1300,1300,1300,1300,1300,1300,1300
Benin,3500,3500,3500,3600,3500,3300,3300,3300
Senegal,1100,980,920,880,850,850,860,880
Gabon,2200,2200,2100,2000,2000,1900,1700,1600
El Salvador,1100,1100,980,900,830,770,700,640
Uzbekistan,3400,3600,3700,3900,4000,4100,4300,4400
Vietnam,14000,13000,11000,10000,9100,7600,6300,5400
Ukraine,14000,13000,13000,13000,13000,13000,12000,12000
Australia,980,990,1000,1000,1000,1000,1000,1000
Panama,1400,1400,1400,1400,1400,1400,1300,1300
Chile,3900,4100,4200,4300,4500,4700,4900,4900
Guinea-Bissau,2400,2300,2200,2200,2100,2000,1900,1900
Somalia,500,500,500,500,500,500,500,500
"Bahamas, The",500,500,500,500,500,500,500,200
Costa Rica,850,870,900,920,940,960,980,1000
Denmark,200,200,200,200,200,200,200,200
Equatorial Guinea,3400,3600,3700,3700,3900,4100,4200,4200
"Iran, Islamic Rep.",4700,4600,4600,4600,4400,4400,4300,4300
Japan,1700,1700,1700,1600,1500,1500,1400,1200
Morocco,1100,1100,1000,990,960,920,880,850
Netherlands,930,850,780,710,630,540,500,
Papua New Guinea,1500,1700,1800,1800,1900,1900,1900,1900
Paraguay,1100,1200,1200,1200,1200,1100,1100,1100
Romania,840,830,820,810,810,810,800,790
Sudan,4600,4600,4500,4400,4400,4400,4400,4400
Uruguay,800,820,830,790,800,830,860,880
Bolivia,1100,1100,1200,1200,1300,1300,1300,1300
Cabo Verde,200,200,200,200,200,200,100,100
Cuba,2300,2300,2300,2300,2200,2000,1900,1700
Djibouti,500,500,500,500,500,500,500,500
"Gambia, The",1600,1600,1600,1700,1800,1800,1900,1900
Indonesia,58000,57000,54000,51000,48000,45000,44000,43000
Ireland,500,500,500,500,500,500,500,500
Israel,500,500,500,500,500,500,500,500
Moldova,1500,1400,1300,1200,1100,1000,990,970
Madagascar,2100,2400,2800,3200,3700,4100,4800,5600
Mauritania,200,200,200,200,200,200,200,100
Singapore,500,500,500,200,200,200,200,200
Serbia,200,200,200,200,200,500,500,500
Suriname,500,500,500,500,500,500,500,500
Afghanistan,530,560,600,630,670,710,740,770
Armenia,200,200,200,200,200,200,200,200
Bangladesh,960,1100,1100,1200,1300,1400,1400,1500
Bulgaria,500,500,500,500,500,500,500,500
Bosnia and Herzegovina,100,100,100,100,100,100,100,100
Belarus,2000,2100,2200,2300,2300,2200,2100,1900
Belize,500,500,500,500,500,500,500,500
Barbados,200,200,200,200,200,200,200,200
Bhutan,200,100,100,100,100,100,100,100
Comoros,100,100,100,100,100,100,100,100
Czech Republic,500,500,500,500,500,500,500,500
Algeria,1000,1100,1200,1200,1300,1300,1200,1200
"Egypt, Arab Rep.",1300,1500,1800,2000,2300,2600,3000,3500
Estonia,500,500,500,500,500,500,500,500
Finland,200,200,200,200,200,200,200,200
Georgia,810,820,790,740,730,720,720,710
Guyana,500,500,500,500,500,500,500,500
Croatia,100,100,100,100,100,100,100,100
Hungary,500,500,500,500,500,500,500,500
Iceland,100,100,100,100,100,100,100,100
Jordan,100,100,100,100,100,100,100,100
Kazakhstan,2100,2200,2300,2400,2500,2500,2500,2600
Kyrgyz Republic,1100,1000,940,840,740,640,580,550
Cambodia,1600,1500,1400,1200,1200,1100,950,780
Kuwait,100,100,100,100,100,100,100,100
Lao PDR,830,780,730,670,630,590,540,500
Lebanon,200,200,200,200,200,200,200,200
Libya,740,710,670,620,560,510,500,500
Sri Lanka,500,500,500,200,200,200,200,200
Luxembourg,100,100,100,100,100,100,100,100
Latvia,500,500,500,500,500,500,500,500
North Macedonia,100,100,100,100,100,100,100,100
Montenegro,100,100,100,100,100,100,100,100
Mongolia,100,100,100,100,100,100,100,100
Mauritius,890,830,830,830,830,850,890,900
Nicaragua,520,500,500,500,500,500,500,500
Norway,500,500,500,500,200,200,200,200
Nepal,1600,1500,1300,1200,1100,1000,910,810
New Zealand,200,200,200,200,200,200,200,200
Oman,200,200,200,200,200,500,500,500
Pakistan,13000,14000,15000,16000,17000,18000,19000,20000
Philippines,4600,5400,6600,8100,9400,10000,12000,13000
Slovak Republic,100,100,100,200,200,200,200,200
Slovenia,100,100,100,100,100,100,100,100
Syrian Arab Republic,100,100,100,100,100,100,100,100
Tajikistan,1100,1100,1100,1000,970,930,850,790
Tunisia,500,500,500,500,500,500,500,500
"Yemen, Rep.",790,850,890,900,930,960,980,1000
China,20450,41929,42286,45145,50330,54360,57194,64170
